Round,Accuracy
0,0.445
1,0.5795
2,0.6501
3,0.6933
4,0.7464
5,0.7804
6,0.7848
7,0.8232
8,0.8285
9,0.856
10,0.8581
11,0.8709
12,0.884
13,0.8862
14,0.8939
15,0.8945
16,0.887
17,0.8956
18,0.8932
19,0.9088
20,0.9031
21,0.894
22,0.9096
23,0.9117
24,0.9032
25,0.907
26,0.9153
27,0.9185
28,0.9158
29,0.9105
30,0.9223
31,0.9242
32,0.9159
33,0.9162
34,0.9157
35,0.9265
36,0.9194
37,0.9212
38,0.9227
39,0.9257
40,0.9228
41,0.9272
42,0.9243
43,0.9208
44,0.9286
45,0.9313
46,0.9272
47,0.9257
48,0.9298
49,0.9292
50,0.9278
51,0.9212
52,0.9319
53,0.9306
54,0.9227
55,0.9247
56,0.9362
57,0.935
58,0.9313
59,0.9384
60,0.9345
61,0.9376
62,0.9303
63,0.9405
64,0.9411
65,0.935
66,0.926
67,0.9355
68,0.9267
69,0.9272
70,0.9397
71,0.9288
72,0.9362
73,0.9447
74,0.9336
75,0.942
76,0.933
77,0.9292
78,0.9336
79,0.9299
80,0.9449
81,0.9396
82,0.9368
83,0.9333
84,0.9386
85,0.9336
86,0.9386
87,0.939
88,0.936
89,0.9396
90,0.9424
91,0.9374
92,0.9386
93,0.9439
94,0.936
95,0.9306
96,0.9431
97,0.9431
98,0.9461
99,0.9341
100,0.9274
101,0.9429
102,0.938
103,0.9438
104,0.9375
105,0.9431
106,0.937
107,0.9427
108,0.9403
109,0.9336
110,0.9376
111,0.9389
112,0.9438
113,0.94
114,0.9363
115,0.9422
116,0.9385
117,0.9374
118,0.9435
119,0.9465
120,0.9398
121,0.9325
122,0.9454
123,0.9446
124,0.9468
125,0.9394
126,0.9449
127,0.944
128,0.9433
129,0.9469
130,0.9416
131,0.9468
132,0.9441
133,0.948
134,0.9421
135,0.9502
136,0.9403
137,0.9456
138,0.9407
139,0.9456
140,0.9469
141,0.9442
142,0.949
143,0.9429
144,0.9436
145,0.939
146,0.9453
147,0.9443
148,0.9473
149,0.9474
150,0.9388
151,0.9522
152,0.9492
153,0.9416
154,0.942
155,0.9464
156,0.9431
157,0.9435
158,0.9456
159,0.9494
160,0.9541
161,0.9428
162,0.9456
163,0.9452
164,0.9469
165,0.946
166,0.9531
167,0.9462
168,0.9502
169,0.951
170,0.954
171,0.9462
172,0.9517
173,0.9436
174,0.949
175,0.9488
176,0.9482
177,0.951
178,0.946
179,0.9538
180,0.9488
181,0.9468
182,0.9472
183,0.9481
184,0.9488
185,0.9535
186,0.95
187,0.95
188,0.9518
189,0.9404
190,0.9574
191,0.9545
192,0.9492
193,0.95
194,0.9513
195,0.9527
196,0.9543
197,0.9563
198,0.9473
199,0.9461
